year,actual_satisfaction,frozen_income_satisfaction,frozen_expectations_satisfaction,n_respondents
1972,0.3328,0.3328,0.3328,1470
1973,0.3172,0.3112,0.3419,1393
1974,0.2982,0.2925,0.3409,1354
1975,0.3117,0.3040,0.3397,1402
1976,0.3083,0.3049,0.3359,1390
1977,0.3473,0.3143,0.3563,1393
1978,0.3433,0.3325,0.3451,1431
1980,0.2600,0.2453,0.3536,1353
1982,0.2778,0.2685,0.3415,1677
1983,0.2796,0.2682,0.3426,1450
1984,0.2822,0.2731,0.3442,1339
1985,0.2909,0.2757,0.3492,1415
1986,0.3144,0.2954,0.3505,1343
1987,0.2955,0.2739,0.3583,1662
1988,0.3073,0.2810,0.3586,1354
1989,0.3044,0.2659,0.3618,1376
1990,0.2938,0.2489,0.3705,1226
1991,0.2778,0.2653,0.3479,1361
1993,0.2565,0.2301,0.3571,1464
1994,0.2783,0.2536,0.3599,2630
1996,0.2706,0.2368,0.3661,2557
1998,0.2987,0.2554,0.3692,2500
2000,0.3060,0.2575,0.3732,2449
2002,0.2988,0.2471,0.3846,1222
2004,0.3359,0.3094,0.3748,1174
2006,0.2998,0.2473,0.3801,2575
2008,0.2750,0.2172,0.3796,1770
2010,0.2338,0.2148,0.3590,1803
2012,0.2673,0.2280,0.3719,1757
2014,0.2714,0.2248,0.3722,2313
2016,0.2855,0.2401,0.3743,2594
2018,0.3325,0.2962,0.3770,2150
2021,0.2822,0.2364,0.3686,3394
2022,0.2856,0.2361,0.3828,1558
2024,0.2226,0.1985,0.3730,1472
