year,actual_satisfaction,frozen_income_satisfaction,frozen_expectations_satisfaction,n_respondents
1972,0.3328,0.3328,0.3328,1470
1973,0.3168,0.3126,0.3388,1394
1974,0.2982,0.2949,0.3378,1354
1975,0.3117,0.3090,0.3354,1402
1976,0.3083,0.3117,0.3308,1390
1977,0.3473,0.3303,0.3441,1393
1978,0.3433,0.3418,0.3345,1431
1980,0.2600,0.2556,0.3394,1353
1982,0.2778,0.2826,0.3282,1677
1983,0.2796,0.2801,0.3317,1450
1984,0.2822,0.2841,0.3303,1339
1985,0.2909,0.2887,0.3348,1415
1986,0.3144,0.3088,0.3373,1343
1987,0.2955,0.2864,0.3428,1662
1988,0.3073,0.2992,0.3403,1354
1989,0.3044,0.2845,0.3463,1376
1990,0.2938,0.2730,0.3490,1226
1991,0.2776,0.2780,0.3322,1362
1993,0.2565,0.2483,0.3391,1464
1994,0.2783,0.2701,0.3409,2630
1996,0.2706,0.2566,0.3455,2557
1998,0.2987,0.2789,0.3467,2500
2000,0.3060,0.2800,0.3516,2449
2002,0.2988,0.2704,0.3567,1222
2004,0.3359,0.3231,0.3484,1174
2006,0.2998,0.2724,0.3539,2575
2008,0.2750,0.2438,0.3549,1770
2010,0.2338,0.2290,0.3372,1803
2012,0.2673,0.2487,0.3482,1757
2014,0.2714,0.2508,0.3464,2313
2016,0.2855,0.2658,0.3482,2594
2018,0.3325,0.3143,0.3498,2150
2021,0.2815,0.2590,0.3450,3496
2022,0.2655,0.2360,0.3545,3095
2024,0.2308,0.2176,0.3467,2921
