year,actual_dissatisfaction,frozen_income_dissatisfaction,frozen_expectations_dissatisfaction,n_respondents
1972,0.2173,0.2173,0.2173,1470
1973,0.2398,0.2462,0.2112,1393
1974,0.2388,0.2443,0.2126,1354
1975,0.2625,0.2712,0.2113,1402
1976,0.2344,0.2404,0.2130,1390
1977,0.2134,0.2426,0.1984,1393
1978,0.2459,0.2576,0.2073,1431
1980,0.2872,0.3014,0.2036,1353
1982,0.2689,0.2763,0.2118,1677
1983,0.2901,0.2960,0.2138,1450
1984,0.2555,0.2614,0.2130,1339
1985,0.2711,0.2816,0.2080,1415
1986,0.2583,0.2748,0.2065,1343
1987,0.2150,0.2346,0.2010,1662
1988,0.2344,0.2512,0.2035,1354
1989,0.2629,0.2908,0.1985,1376
1990,0.2798,0.3101,0.1923,1226
1991,0.2514,0.2598,0.2098,1361
1993,0.2949,0.3136,0.2061,1464
1994,0.2593,0.2814,0.2012,2630
1996,0.2766,0.3042,0.1982,2557
1998,0.2593,0.2921,0.1956,2500
2000,0.2295,0.2596,0.1942,2449
2002,0.2653,0.3117,0.1866,1222
2004,0.2467,0.2661,0.1983,1174
2006,0.2474,0.2794,0.1917,2575
2008,0.3117,0.3518,0.1918,1770
2010,0.3128,0.3205,0.2136,1803
2012,0.2795,0.3021,0.1995,1757
2014,0.2625,0.2821,0.2007,2313
2016,0.2616,0.2866,0.1982,2594
2018,0.2164,0.2319,0.1989,2150
2021,0.2616,0.2759,0.2072,3394
2022,0.3053,0.3465,0.1923,1558
2024,0.3099,0.3246,0.2048,1472
