year,actual_dissatisfaction,frozen_income_dissatisfaction,frozen_expectations_dissatisfaction,n_respondents
1972,0.2173,0.2173,0.2173,1470
1973,0.2394,0.2441,0.2129,1394
1974,0.2388,0.2419,0.2146,1354
1975,0.2625,0.2655,0.2152,1402
1976,0.2344,0.2339,0.2177,1390
1977,0.2134,0.2295,0.2076,1393
1978,0.2459,0.2472,0.2160,1431
1980,0.2872,0.2910,0.2134,1353
1982,0.2689,0.2630,0.2218,1677
1983,0.2901,0.2846,0.2206,1450
1984,0.2555,0.2500,0.2218,1339
1985,0.2711,0.2706,0.2181,1415
1986,0.2583,0.2612,0.2155,1343
1987,0.2150,0.2236,0.2108,1662
1988,0.2344,0.2377,0.2149,1354
1989,0.2629,0.2764,0.2085,1376
1990,0.2798,0.2926,0.2070,1226
1991,0.2520,0.2493,0.2200,1362
1993,0.2949,0.2961,0.2175,1464
1994,0.2593,0.2645,0.2138,2630
1996,0.2766,0.2866,0.2110,2557
1998,0.2593,0.2712,0.2098,2500
2000,0.2295,0.2443,0.2071,2449
2002,0.2653,0.2880,0.2036,1222
2004,0.2467,0.2523,0.2129,1174
2006,0.2474,0.2624,0.2067,2575
2008,0.3117,0.3314,0.2060,1770
2010,0.3128,0.3094,0.2237,1803
2012,0.2795,0.2867,0.2129,1757
2014,0.2625,0.2665,0.2152,2313
2016,0.2616,0.2688,0.2127,2594
2018,0.2164,0.2206,0.2130,2150
2021,0.2589,0.2583,0.2196,3496
2022,0.3001,0.3166,0.2086,3095
2024,0.3037,0.3055,0.2191,2921
