year,threshold_income,median_income,n,b0,b1,threshold_income_smooth,median_income_smooth
1972,5936.8,19244.8,1465,-11.5,1.3,5746.7,20891.3
1973,5279.8,22321.5,1388,-10.1,1.2,6175.1,20557.7
1974,6023.4,21107.5,1351,-9.9,1.1,6623.2,20500.8
1975,7460.3,19557.2,1398,-12.1,1.4,7201.3,20921.8
1976,8415.9,20273.2,1385,-13.4,1.5,7691.6,20448.0
1977,8827.1,21349.7,1391,-13.2,1.4,8108.6,20283.1
1978,7731.2,19952.4,1425,-12.6,1.4,7996.7,20616.6
1980,7012.5,20891.1,1347,-8.8,1.0,7554.1,20144.5
1982,7918.6,19590.1,1668,-10.6,1.2,7333.5,19948.3
1983,8314.1,19221.0,1441,-12.8,1.4,7082.8,20016.0
1984,6088.8,20091.1,1339,-9.1,1.0,7448.6,20450.1
1985,6009.9,21161.7,1411,-8.3,0.9,7259.4,21292.1
1986,8911.8,22186.7,1340,-13.7,1.5,7017.3,22310.4
1987,6972.5,23800.1,1651,-9.0,1.0,7313.7,22983.9
1988,7103.6,24312.3,1352,-9.7,1.1,7586.1,23784.8
1989,7570.7,23458.6,1374,-10.3,1.1,7021.5,23638.7
1990,7371.7,25166.1,1225,-9.4,1.1,7033.8,23598.4
1991,6089.0,21456.4,1354,-9.0,1.0,7336.2,23368.2
1993,8313.2,23391.8,1460,-9.7,1.1,7560.0,22556.2
1994,8277.9,22820.5,2619,-10.7,1.2,8658.3,23820.6
1996,9383.8,25249.5,2540,-10.9,1.2,8666.7,24219.6
1998,8338.6,24588.9,2481,-9.4,1.0,8254.0,25562.1
2000,7039.8,26847.9,2430,-8.6,1.0,8543.4,26063.6
2002,10251.8,26754.0,1221,-11.1,1.2,7658.6,26448.6
2004,5684.3,25744.0,1166,-6.7,0.8,8520.2,26855.5
2006,9624.6,28068.6,2564,-10.5,1.1,8886.1,26746.3
2008,11349.5,26426.3,1762,-11.1,1.2,10121.8,26664.5
2010,9391.2,25498.7,1794,-7.8,0.8,10444.7,25433.0
2012,10593.5,24374.0,1748,-10.8,1.2,9740.4,24938.0
2014,9236.6,24941.2,2302,-9.1,1.0,9760.4,25513.4
2016,9451.2,27225.0,2586,-10.0,1.1,8728.9,26476.3
2018,7498.9,27262.5,2139,-7.1,0.8,8475.1,27243.8
2021,9417.6,26134.7,3400,-8.8,1.0,8968.3,28173.8
2022,8518.9,30212.9,1553,-8.9,1.0,8302.2,27721.3
2024,6970.1,26816.5,1465,-6.6,0.8,7744.5,28514.7
