year,threshold_income,median_income,n,b0,b1,threshold_income_smooth,median_income_smooth
1972,10258.3,41667.0,1465,-11.7,1.3,9825.5,42841.7
1973,9180.5,44643.0,1389,-10.6,1.2,10401.3,41734.8
1974,10037.6,42215.0,1351,-9.8,1.1,11027.7,40482.0
1975,12128.8,38414.0,1398,-11.6,1.2,11919.0,39529.2
1976,13533.4,35471.0,1385,-12.5,1.3,12506.9,37498.0
1977,14714.8,36903.0,1391,-13.8,1.4,13124.2,36318.8
1978,12119.8,34487.0,1425,-12.3,1.3,12743.3,35645.8
1980,10605.2,35722.0,1347,-8.4,0.9,11624.6,33205.0
1982,12148.8,29406.0,1668,-10.3,1.1,11483.9,31980.2
1983,13373.5,32035.0,1441,-12.7,1.3,11128.2,31429.0
1984,9807.9,30758.0,1339,-9.4,1.0,11739.2,32394.0
1985,9182.4,33517.0,1411,-8.2,0.9,11501.5,34757.4
1986,14183.5,36254.0,1340,-13.6,1.4,11026.1,36323.8
1987,10960.1,41223.0,1651,-9.0,1.0,11553.4,37865.6
1988,10996.7,39867.0,1352,-9.9,1.1,12012.5,39880.0
1989,12444.4,38467.0,1374,-10.8,1.1,11068.7,39656.2
1990,11477.7,43589.0,1225,-9.8,1.1,11095.8,39264.5
1991,9464.4,35135.0,1355,-9.2,1.0,11578.4,39071.5
1993,12927.3,39095.0,1460,-9.9,1.0,11607.7,37457.0
1994,12431.5,38141.0,2619,-10.4,1.1,13464.5,39773.0
1996,15034.8,42083.0,2540,-11.6,1.2,13358.0,40116.0
1998,12607.8,40124.0,2481,-9.3,1.0,12864.5,40319.7
2000,10950.9,38752.0,2430,-8.8,0.9,13026.8,40885.0
2002,15521.6,43779.0,1221,-11.3,1.2,12051.5,41552.7
2004,9682.1,42127.0,1166,-7.7,0.8,13420.8,41867.0
2006,15058.8,39695.0,2564,-11.1,1.2,14159.8,42499.8
2008,17738.4,45677.5,1762,-11.5,1.2,16030.0,40502.5
2010,15292.8,36135.0,1794,-8.5,0.9,16530.7,41314.2
2012,16561.0,42130.0,1748,-11.3,1.2,15337.3,39636.7
2014,14158.2,40645.0,2302,-9.4,1.0,15135.4,40901.7
2016,14686.9,39930.0,2586,-10.5,1.1,13430.3,42630.8
2018,11445.9,47317.5,2139,-7.4,0.8,13066.4,43623.8
2021,14389.9,45360.0,3502,-8.9,0.9,14806.3,44043.8
2022,15222.7,42727.5,3090,-10.7,1.1,13233.0,42030.0
2024,10086.3,38002.5,2912,-7.0,0.8,12654.5,40365.0
