year,threshold_income,median_income,n,b0,b1,threshold_income_smooth,median_income_smooth
1972,13588.2,19244.8,1465,11.5,-1.3,14276.5,20891.3
1973,13365.2,22321.5,1388,10.1,-1.2,14902.5,20557.7
1974,15876.0,21107.5,1351,9.9,-1.1,15445.8,20500.8
1975,16780.8,19557.2,1398,12.1,-1.4,16495.7,20921.8
1976,17618.7,20273.2,1385,13.4,-1.5,17197.2,20448.0
1977,18837.8,21349.7,1391,13.2,-1.4,17527.4,20283.1
1978,16872.4,19952.4,1425,12.6,-1.4,18635.1,20616.6
1980,21211.5,20891.1,1347,8.8,-1.0,19394.2,20144.5
1982,20098.8,19590.1,1668,10.6,-1.2,19228.3,19948.3
1983,18080.2,19221.0,1441,12.8,-1.4,18711.7,20016.0
1984,17522.6,20091.1,1339,9.1,-1.0,18660.8,20450.1
1985,19145.2,21161.7,1411,8.3,-0.9,18745.8,21292.1
1986,18456.9,22186.7,1340,13.7,-1.5,18989.0,22310.4
1987,20523.8,23800.1,1651,9.0,-1.0,19426.3,22983.9
1988,19296.2,24312.3,1352,9.7,-1.1,19749.8,23784.8
1989,19709.6,23458.6,1374,10.3,-1.1,19574.0,23638.7
1990,20762.4,25166.1,1225,9.4,-1.1,19336.5,23598.4
1991,17578.0,21456.4,1354,9.0,-1.0,20262.9,23368.2
1993,23001.6,23391.8,1460,9.7,-1.1,20474.3,22556.2
1994,20843.2,22820.5,2619,10.7,-1.2,22469.7,23820.6
1996,23564.4,25249.5,2540,10.9,-1.2,22814.8,24219.6
1998,24036.9,24588.9,2481,9.4,-1.0,23177.4,25562.1
2000,21930.9,26847.9,2430,8.6,-1.0,23846.6,26063.6
2002,25572.1,26754.0,1221,11.1,-1.2,23687.5,26448.6
2004,23559.5,25744.0,1166,6.7,-0.8,24785.9,26855.5
2006,25226.1,28068.6,2564,10.5,-1.1,25803.8,26746.3
2008,28625.8,26426.3,1762,11.1,-1.2,29395.7,26664.5
2010,34335.1,25498.7,1794,7.8,-0.8,30040.1,25433.0
2012,27159.5,24374.0,1748,10.8,-1.2,29776.8,24938.0
2014,27835.9,24941.2,2302,9.1,-1.0,26960.9,25513.4
2016,25887.4,27225.0,2586,10.0,-1.1,27762.4,26476.3
2018,29563.9,27262.5,2139,7.1,-0.8,27725.7,27243.8
2021,29666.9,26134.7,3400,8.8,-1.0,27847.2,28173.8
2022,26027.6,30212.9,1553,8.9,-1.0,28608.9,27721.3
2024,30132.3,26816.5,1465,6.6,-0.8,28080.0,28514.7
