year,threshold_income,median_income,n,b0,b1,threshold_income_smooth,median_income_smooth
1972,24467.0,41667.0,1465,11.7,-1.3,25473.1,42841.7
1973,23713.8,44643.0,1389,10.6,-1.2,26499.4,41734.8
1974,28238.5,42215.0,1351,9.8,-1.1,27430.7,40482.0
1975,29578.5,38414.0,1398,11.6,-1.2,28856.0,39529.2
1976,31155.9,35471.0,1385,12.5,-1.3,29739.8,37498.0
1977,31593.3,36903.0,1391,13.8,-1.4,30115.2,36318.8
1978,28132.9,34487.0,1425,12.3,-1.3,31631.7,35645.8
1980,35644.7,35722.0,1347,8.4,-0.9,32324.3,33205.0
1982,33195.2,29406.0,1668,10.3,-1.1,31988.0,31980.2
1983,30486.0,32035.0,1441,12.7,-1.3,30909.8,31429.0
1984,28626.3,30758.0,1339,9.4,-1.0,30868.7,32394.0
1985,31331.5,33517.0,1411,8.2,-0.9,31068.2,34757.4
1986,30704.3,36254.0,1340,13.6,-1.4,31170.0,36323.8
1987,34192.6,41223.0,1651,9.0,-1.0,31945.0,37865.6
1988,30995.4,39867.0,1352,9.9,-1.1,32199.2,39880.0
1989,32501.2,38467.0,1374,10.8,-1.1,31724.5,39656.2
1990,32602.6,43589.0,1225,9.8,-1.1,31107.5,39264.5
1991,28330.5,35135.0,1355,9.2,-1.0,32620.7,39071.5
1993,37048.5,39095.0,1460,9.9,-1.0,33001.2,37457.0
1994,33624.7,38141.0,2619,10.4,-1.1,36016.2,39773.0
1996,37375.3,42083.0,2540,11.6,-1.2,36464.1,40116.0
1998,38392.3,40124.0,2481,9.3,-1.0,36990.1,40319.7
2000,35202.7,38752.0,2430,8.8,-0.9,37730.1,40885.0
2002,39595.4,43779.0,1221,11.3,-1.2,36831.5,41552.7
2004,35696.6,42127.0,1166,7.7,-0.8,38124.8,41867.0
2006,39082.6,39695.0,2564,11.1,-1.2,40040.6,42499.8
2008,45342.6,45677.5,1762,11.5,-1.2,45743.0,40502.5
2010,52803.7,36135.0,1794,8.5,-0.9,46918.4,41314.2
2012,42608.9,42130.0,1748,11.3,-1.2,46180.1,39636.7
2014,43127.7,40645.0,2302,9.4,-1.0,41907.6,40901.7
2016,39986.3,39930.0,2586,10.5,-1.1,42962.4,42630.8
2018,45773.2,47317.5,2139,7.4,-0.8,42879.8,43623.8
2021,46609.4,45360.0,3502,8.9,-0.9,43836.7,44043.8
2022,41064.0,42727.5,3090,10.7,-1.1,43422.2,42030.0
2024,42593.1,38002.5,2912,7.0,-0.8,41828.6,40365.0
