year,actual_happiness,frozen_income_happiness,frozen_expectations_happiness,n_respondents
1972,0.3055,0.3055,0.3055,1468
1973,0.3647,0.3610,0.3091,1392
1974,0.3637,0.3592,0.3088,1354
1975,0.3246,0.3220,0.3084,1403
1976,0.3464,0.3439,0.3070,1394
1977,0.3574,0.3452,0.3154,1397
1978,0.3372,0.3357,0.3108,1419
1980,0.3422,0.3343,0.3138,1353
1982,0.3257,0.3209,0.3090,1677
1983,0.3132,0.3075,0.3097,1430
1984,0.3556,0.3528,0.3095,1320
1985,0.2842,0.2796,0.3119,1415
1986,0.3308,0.3222,0.3125,1329
1987,0.3367,0.3230,0.3156,1637
1988,0.3616,0.3556,0.3154,1346
1989,0.3480,0.3360,0.3170,1371
1990,0.3578,0.3466,0.3207,1223
1991,0.3145,0.3069,0.3116,1357
1993,0.3047,0.2918,0.3146,1463
1994,0.2985,0.2856,0.3163,2627
1996,0.3183,0.3054,0.3187,2544
1998,0.3278,0.3106,0.3199,2481
2000,0.3441,0.3268,0.3217,2421
2002,0.3164,0.2981,0.3263,1223
2004,0.3299,0.3118,0.3216,1173
2006,0.3209,0.2931,0.3243,2576
2008,0.3018,0.2739,0.3240,1770
2010,0.2706,0.2640,0.3145,1804
2012,0.3227,0.3069,0.3207,1752
2014,0.3160,0.3026,0.3206,2310
2016,0.3057,0.2881,0.3216,2591
2018,0.3181,0.2959,0.3223,2151
2021,0.1986,0.1944,0.3183,3394
2022,0.2272,0.2103,0.3249,1561
2024,0.2485,0.2417,0.3202,1469
