year,actual_happiness,frozen_income_happiness,frozen_expectations_happiness,n_respondents
1972,0.3055,0.3055,0.3055,1468
1973,0.3641,0.3609,0.3084,1393
1974,0.3637,0.3606,0.3079,1354
1975,0.3246,0.3237,0.3067,1403
1976,0.3464,0.3477,0.3046,1394
1977,0.3574,0.3505,0.3112,1397
1978,0.3372,0.3370,0.3064,1419
1980,0.3422,0.3394,0.3085,1353
1982,0.3257,0.3294,0.3031,1677
1983,0.3132,0.3135,0.3052,1430
1984,0.3556,0.3572,0.3037,1320
1985,0.2842,0.2837,0.3062,1415
1986,0.3308,0.3283,0.3074,1329
1987,0.3367,0.3297,0.3102,1637
1988,0.3616,0.3593,0.3088,1346
1989,0.3480,0.3412,0.3117,1371
1990,0.3578,0.3502,0.3130,1223
1991,0.3142,0.3146,0.3051,1358
1993,0.3047,0.3010,0.3078,1463
1994,0.2985,0.2939,0.3091,2627
1996,0.3183,0.3118,0.3114,2544
1998,0.3278,0.3192,0.3119,2481
2000,0.3441,0.3325,0.3144,2421
2002,0.3164,0.3050,0.3168,1223
2004,0.3299,0.3204,0.3123,1173
2006,0.3209,0.3048,0.3153,2576
2008,0.3018,0.2852,0.3157,1770
2010,0.2706,0.2695,0.3064,1804
2012,0.3227,0.3144,0.3123,1752
2014,0.3160,0.3099,0.3112,2310
2016,0.3057,0.2962,0.3122,2591
2018,0.3181,0.3065,0.3128,2151
2021,0.1997,0.1978,0.3100,3495
2022,0.2479,0.2393,0.3152,3092
2024,0.2326,0.2297,0.3108,2908
