year,actual_unhappiness,frozen_income_unhappiness,frozen_expectations_unhappiness,n_respondents
1972,0.1569,0.1569,0.1569,1468
1973,0.1236,0.1276,0.1544,1392
1974,0.1299,0.1324,0.1548,1354
1975,0.1290,0.1317,0.1545,1403
1976,0.1206,0.1237,0.1552,1394
1977,0.1005,0.1099,0.1493,1397
1978,0.0772,0.0800,0.1529,1419
1980,0.1279,0.1329,0.1514,1353
1982,0.1169,0.1200,0.1547,1677
1983,0.1321,0.1343,0.1548,1430
1984,0.1199,0.1212,0.1551,1320
1985,0.1080,0.1118,0.1530,1415
1986,0.1016,0.1057,0.1524,1329
1987,0.1041,0.1117,0.1502,1637
1988,0.0809,0.0837,0.1511,1346
1989,0.0978,0.1074,0.1493,1371
1990,0.0873,0.0922,0.1466,1223
1991,0.0920,0.0946,0.1534,1357
1993,0.1037,0.1075,0.1521,1463
1994,0.1145,0.1210,0.1501,2627
1996,0.1039,0.1116,0.1488,2544
1998,0.1106,0.1224,0.1478,2481
2000,0.0926,0.1026,0.1469,2421
2002,0.1116,0.1270,0.1438,1223
2004,0.1174,0.1237,0.1487,1173
2006,0.1194,0.1319,0.1458,2576
2008,0.1499,0.1664,0.1459,1770
2010,0.1485,0.1503,0.1549,1804
2012,0.1186,0.1260,0.1490,1752
2014,0.1199,0.1266,0.1495,2310
2016,0.1383,0.1501,0.1484,2591
2018,0.1255,0.1334,0.1487,2151
2021,0.2290,0.2351,0.1525,3394
2022,0.1983,0.2145,0.1461,1561
2024,0.2075,0.2142,0.1512,1469
