year,actual_unhappiness,frozen_income_unhappiness,frozen_expectations_unhappiness,n_respondents
1972,0.1569,0.1569,0.1569,1468
1973,0.1234,0.1269,0.1551,1393
1974,0.1299,0.1315,0.1556,1354
1975,0.1290,0.1300,0.1561,1403
1976,0.1206,0.1206,0.1571,1394
1977,0.1005,0.1067,0.1529,1397
1978,0.0772,0.0777,0.1563,1419
1980,0.1279,0.1295,0.1553,1353
1982,0.1169,0.1131,0.1587,1677
1983,0.1321,0.1304,0.1577,1430
1984,0.1199,0.1174,0.1588,1320
1985,0.1080,0.1069,0.1571,1415
1986,0.1016,0.1020,0.1561,1329
1987,0.1041,0.1076,0.1542,1637
1988,0.0809,0.0814,0.1558,1346
1989,0.0978,0.1025,0.1533,1371
1990,0.0873,0.0902,0.1526,1223
1991,0.0919,0.0904,0.1577,1358
1993,0.1037,0.1026,0.1568,1463
1994,0.1145,0.1158,0.1553,2627
1996,0.1039,0.1064,0.1541,2544
1998,0.1106,0.1143,0.1537,2481
2000,0.0926,0.0973,0.1523,2421
2002,0.1116,0.1186,0.1509,1223
2004,0.1174,0.1186,0.1548,1173
2006,0.1194,0.1249,0.1522,2576
2008,0.1499,0.1576,0.1519,1770
2010,0.1485,0.1450,0.1593,1804
2012,0.1186,0.1197,0.1547,1752
2014,0.1199,0.1197,0.1557,2310
2016,0.1383,0.1396,0.1547,2591
2018,0.1255,0.1264,0.1548,2151
2021,0.2299,0.2298,0.1577,3495
2022,0.2024,0.2095,0.1530,3092
2024,0.1957,0.1954,0.1573,2908
