year,threshold_income,median_income,n,threshold_income_smooth,median_income_smooth
1972,5838.5,19244.8,1465,3271.6,20891.3
1973,704.7,22321.5,1388,3200.5,20557.7
1974,,21107.5,1351,3602.2,20500.8
1975,3058.4,19557.2,1398,3186.8,20921.8
1976,4807.3,20273.2,1385,4014.2,20448.0
1977,4176.9,21349.7,1391,4014.2,20283.1
1978,,19952.4,1425,3199.2,20616.6
1980,613.3,20891.1,1347,613.3,20144.5
1982,,19590.1,1668,711.7,19948.3
1983,476.5,19221.0,1441,760.9,20016.0
1984,1045.3,20091.1,1339,1557.7,20450.1
1985,,21161.7,1411,1700.5,21292.1
1986,3151.2,22186.7,1340,1869.8,22310.4
1987,2129.1,23800.1,1651,2144.6,22983.9
1988,1153.6,24312.3,1352,2144.6,23784.8
1989,,23458.6,1374,1641.4,23638.7
1990,,25166.1,1225,1153.6,23598.4
1991,,21456.4,1354,1841.8,23368.2
1993,1841.8,23391.8,1460,1280.1,22556.2
1994,718.5,22820.5,2619,2209.4,23820.6
1996,4067.9,25249.5,2540,2393.2,24219.6
1998,,24588.9,2481,2756.9,25562.1
2000,1446.0,26847.9,2430,894.8,26063.6
2002,343.5,26754.0,1221,894.8,26448.6
2004,,25744.0,1166,260.1,26855.5
2006,176.7,28068.6,2564,500.4,26746.3
2008,824.1,26426.3,1762,398.4,26664.5
2010,194.6,25498.7,1794,410.1,25433.0
2012,211.6,24374.0,1748,674.7,24938.0
2014,1617.8,24941.2,2302,998.5,25513.4
2016,1165.9,27225.0,2586,1283.1,26476.3
2018,1065.6,27262.5,2139,1115.8,27243.8
2021,826.8,26134.7,3400,940.7,28173.8
2022,1054.6,30212.9,1553,773.8,27721.3
2024,439.9,26816.5,1465,747.3,28514.7
