year,simulated_income_mean,simulated_income_median,sim_happiness_alpha1.5,sim_happiness_alpha2.0,sim_happiness_alpha3.0,actual_happiness
1972,43696.7832,37594.5951,0.3378,0.3373,0.3371,0.3055
1973,44570.7189,38346.4870,0.3389,0.3384,0.3382,0.3641
1974,45462.1333,39113.4167,0.3400,0.3395,0.3393,0.3637
1975,46371.3760,39895.6851,0.3411,0.3406,0.3404,0.3246
1976,47298.8035,40693.5988,0.3422,0.3417,0.3415,0.3464
1977,48244.7795,41507.4707,0.3433,0.3428,0.3426,0.3574
1978,49209.6751,42337.6201,0.3444,0.3439,0.3437,0.3372
1979,50193.8686,43184.3725,0.3455,0.3450,0.3448,
1980,51197.7460,44048.0600,0.3466,0.3461,0.3459,0.3422
1981,52221.7009,44929.0212,0.3477,0.3472,0.3470,
1982,53266.1349,45827.6016,0.3488,0.3483,0.3481,0.3257
1983,54331.4576,46744.1537,0.3499,0.3494,0.3492,0.3132
1984,55418.0868,47679.0367,0.3510,0.3505,0.3503,0.3556
1985,56526.4485,48632.6175,0.3521,0.3516,0.3514,0.2842
1986,57656.9775,49605.2698,0.3532,0.3527,0.3525,0.3308
1987,58810.1171,50597.3752,0.3543,0.3538,0.3536,0.3367
1988,59986.3194,51609.3227,0.3554,0.3549,0.3547,0.3616
1989,61186.0458,52641.5092,0.3566,0.3560,0.3559,0.3480
1990,62409.7667,53694.3393,0.3577,0.3572,0.3570,0.3578
1991,63657.9620,54768.2261,0.3588,0.3583,0.3581,0.3142
1992,64931.1213,55863.5907,0.3599,0.3594,0.3592,
1993,66229.7437,56980.8625,0.3610,0.3605,0.3603,0.3047
1994,67554.3386,58120.4797,0.3622,0.3616,0.3615,0.2985
1995,68905.4253,59282.8893,0.3633,0.3628,0.3626,
1996,70283.5339,60468.5471,0.3644,0.3639,0.3637,0.3183
1997,71689.2045,61677.9180,0.3655,0.3650,0.3648,
1998,73122.9886,62911.4764,0.3667,0.3661,0.3660,0.3278
1999,74585.4484,64169.7059,0.3678,0.3673,0.3671,
2000,76077.1574,65453.1001,0.3689,0.3684,0.3682,0.3441
2001,77598.7005,66762.1621,0.3701,0.3695,0.3694,
2002,79150.6745,68097.4053,0.3712,0.3707,0.3705,0.3164
2003,80733.6880,69459.3534,0.3723,0.3718,0.3716,
2004,82348.3618,70848.5405,0.3735,0.3729,0.3728,0.3299
2005,83995.3290,72265.5113,0.3746,0.3741,0.3739,
2006,85675.2356,73710.8215,0.3757,0.3752,0.3751,0.3209
2007,87388.7403,75185.0379,0.3769,0.3764,0.3762,
2008,89136.5151,76688.7387,0.3780,0.3775,0.3773,0.3018
2009,90919.2454,78222.5135,0.3792,0.3786,0.3785,
2010,92737.6303,79786.9637,0.3803,0.3798,0.3796,0.2706
2011,94592.3829,81382.7030,0.3815,0.3809,0.3808,
2012,96484.2306,83010.3571,0.3826,0.3821,0.3819,0.3227
2013,98413.9152,84670.5642,0.3838,0.3832,0.3831,
2014,100382.1935,86363.9755,0.3849,0.3844,0.3842,0.3160
2015,102389.8374,88091.2550,0.3861,0.3855,0.3854,
2016,104437.6341,89853.0801,0.3872,0.3867,0.3865,0.3057
2017,106526.3868,91650.1417,0.3884,0.3878,0.3877,
2018,108656.9145,93483.1445,0.3895,0.3890,0.3888,0.3181
2019,110830.0528,95352.8074,0.3907,0.3902,0.3900,
2020,113046.6539,97259.8636,0.3918,0.3913,0.3912,
2021,115307.5870,99205.0608,0.3930,0.3925,0.3923,0.1997
2022,117613.7387,101189.1621,0.3941,0.3936,0.3935,0.2479
2023,119966.0135,103212.9453,0.3953,0.3948,0.3946,
2024,122365.3337,105277.2042,0.3965,0.3960,0.3958,0.2326
