year,threshold_income,mean_income,median_income,n,b0,b1
1972,19779.6,41051.7,41667.0,1470,3.9,-0.5
1973,27013.5,43408.5,44643.0,1394,4.0,-0.5
1974,26356.6,43422.7,42215.0,1354,4.3,-0.5
1975,32670.1,41803.5,38414.0,1402,5.3,-0.6
1976,24519.0,39813.0,35471.0,1390,5.7,-0.7
1977,23844.1,46707.5,36903.0,1393,7.4,-0.8
1978,27910.4,43293.4,34487.0,1431,4.3,-0.5
1980,52513.0,45535.9,35722.0,1353,2.9,-0.4
1982,31994.0,40315.1,29406.0,1677,5.2,-0.6
1983,36656.6,43439.5,32035.0,1450,6.4,-0.7
1984,28451.8,41873.9,30758.0,1339,5.1,-0.6
1985,36062.5,43954.7,33517.0,1415,4.1,-0.5
1986,30680.8,44247.0,36254.0,1343,6.3,-0.7
1987,22363.9,45857.1,41223.0,1662,5.7,-0.7
1988,25312.0,45766.0,39867.0,1354,5.1,-0.6
1989,35161.2,47679.8,38467.0,1376,5.9,-0.7
1990,45337.9,49707.3,43589.0,1226,4.2,-0.5
1991,28632.0,42401.2,35135.0,1362,4.0,-0.5
1993,41441.3,47140.8,39095.0,1464,5.8,-0.6
1994,32262.2,46496.9,38141.0,2630,5.4,-0.6
1996,39096.7,48925.8,42083.0,2557,5.4,-0.6
1998,33716.7,49203.2,40124.0,2500,5.8,-0.7
2000,26814.5,53012.7,38752.0,2449,6.1,-0.7
2002,38096.4,55492.9,43779.0,1222,6.2,-0.7
2004,29740.0,52727.8,42127.0,1174,3.8,-0.5
2006,31771.0,54834.8,39695.0,2575,5.3,-0.6
2008,56796.3,55561.6,45677.5,1770,5.6,-0.6
2010,62927.6,48598.4,36135.0,1803,3.3,-0.4
2012,41526.3,54749.3,42130.0,1757,4.5,-0.5
2014,34269.2,52792.7,40645.0,2313,4.3,-0.5
2016,34369.8,52827.5,39930.0,2594,4.7,-0.6
2018,20040.1,53749.6,47317.5,2150,3.4,-0.5
2021,31374.7,52187.5,45360.0,3496,4.3,-0.5
2022,49840.6,56498.9,42727.5,3095,5.6,-0.6
2024,63871.0,53757.3,38002.5,2921,2.9,-0.4
